Sample,Gene,GeT-RM,Updated Call,Prediction
HG00276,CYP2C19,1/1,,1/1
HG00436,CYP2C19,1/1,,1/1
HG00589,CYP2C19,1/1,,1/1
HG01190,CYP2C19,1/2,,1/2
NA06991,CYP2C19,1/1,,1/1
NA07000,CYP2C19,1/17,,1/17
NA07019,CYP2C19,1/17,,1/17
NA07029,CYP2C19,8/17,,8/17
NA07055,CYP2C19,1/17,,1/17
NA07056,CYP2C19,1/1,,1/1
NA07348,CYP2C19,2/17,,2/17
NA07357,CYP2C19,2/17,,2/17
NA10831,CYP2C19,1/17,,1/17
NA10847,CYP2C19,1/1,,1/1
NA10851,CYP2C19,1/17,,1/17
NA10854,CYP2C19,1/1,,1/1
NA11832,CYP2C19,1/2,,2/38
NA11839,CYP2C19,1/1,,1/38
NA11993,CYP2C19,1/1,,1/1
NA12003,CYP2C19,1/1,,1/1
NA12006,CYP2C19,1/1,,1/1
NA12145,CYP2C19,2/17,,2/17
NA12156,CYP2C19,1/1,,1/1
NA12717,CYP2C19,2/2,,2/2
NA12813,CYP2C19,1/17,,17/38
NA12873,CYP2C19,1/17,,1/17
NA18484,CYP2C19,1/2,,1/2
NA18509,CYP2C19,2/2,,2/2
NA18518,CYP2C19,2/17,,2/17
NA18519,CYP2C19,1/17,,1/17
NA18524,CYP2C19,1/2,,2/38
NA18526,CYP2C19,1/1,,1/1
NA18540,CYP2C19,1/2,,1/2
NA18544,CYP2C19,1/2,,1/2
NA18552,CYP2C19,1/4,,1/4
NA18564,CYP2C19,2/3,,2/3
NA18565,CYP2C19,1/1,,1/1
NA18617,CYP2C19,1/2,,1/2
NA18855,CYP2C19,1/2,,1/2
NA18861,CYP2C19,1/1,,1/1
NA18868,CYP2C19,1/2,,1/2
NA18942,CYP2C19,1/1,,1/1
NA18952,CYP2C19,1/1,,1/38
NA18959,CYP2C19,1/1,,1/38
NA18966,CYP2C19,1/1,,1/1
NA18973,CYP2C19,1/1,,1/1
NA18980,CYP2C19,1/1,,1/1
