task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
53	2f/b948b6	2384259	get_depth (10)	CACHED	-	2025-12-25 16:32:34.061	-	-	-	-	-	-	-
238	59/dc1711	2368061	get_depth (36)	CACHED	-	2025-12-25 16:30:22.857	-	-	-	-	-	-	-
345	56/e4678f	2407860	get_depth (54)	COMPLETED	0	2025-12-25 16:35:12.427	1.1s	0ms	86.4%	2.8 MB	8.2 MB	4.7 MB	1.6 KB
373	d0/46fa4d	2407849	get_depth (69)	COMPLETED	0	2025-12-25 16:35:12.408	1.6s	0ms	32.3%	1.5 MB	7.1 MB	3.6 MB	1.6 KB
377	7f/fc241b	2408191	get_depth (72)	COMPLETED	0	2025-12-25 16:35:12.571	3.8s	0ms	96.8%	1.7 MB	7.1 MB	3.7 MB	1.6 KB
441	ad/9962e1	2408108	get_depth (88)	COMPLETED	0	2025-12-25 16:35:12.553	4s	0ms	86.4%	1.5 MB	7.1 MB	3.5 MB	1.6 KB
26	8b/72e15f	2408064	call_snvs2 (7)	COMPLETED	0	2025-12-25 16:35:12.539	8.9s	1s	646.0%	1.2 MB	8 MB	2.9 MB	235.6 KB
129	37/7f453e	2408163	call_snvs1 (32)	COMPLETED	0	2025-12-25 16:35:12.565	8.9s	2s	577.4%	12.5 MB	1.7 GB	4 MB	420.1 KB
136	4c/db1971	2408219	call_snvs1 (33)	COMPLETED	0	2025-12-25 16:35:12.577	8.9s	1s	527.2%	1 MB	7.9 MB	3 MB	292.4 KB
169	df/3aeb8c	2408288	call_snvs2 (45)	COMPLETED	0	2025-12-25 16:35:12.590	8.9s	1s	424.9%	1.2 MB	8 MB	3.6 MB	339.4 KB
286	df/651436	2408350	call_snvs2 (75)	COMPLETED	0	2025-12-25 16:35:12.596	8.9s	2s	515.8%	1.2 MB	8 MB	3.7 MB	376.4 KB
371	d8/3af23a	2408502	call_snvs1 (75)	COMPLETED	0	2025-12-25 16:35:12.620	8.9s	2s	471.3%	11.9 MB	1.7 GB	3.7 MB	383.6 KB
277	8a/f507aa	2408574	call_snvs2 (73)	COMPLETED	0	2025-12-25 16:35:12.632	8.9s	1s	302.9%	1.2 MB	8 MB	3.4 MB	343.3 KB
82	4f/0688ca	2408640	call_snvs1 (22)	COMPLETED	0	2025-12-25 16:35:12.641	8.9s	1s	379.5%	1.4 MB	8 MB	3.1 MB	263 KB
217	60/142cb3	2416601	get_depth (32)	COMPLETED	0	2025-12-25 16:35:13.538	8s	0ms	84.7%	1.7 MB	7.1 MB	4.7 MB	1.6 KB
180	ac/af53e1	2408082	call_sv_del (38)	COMPLETED	0	2025-12-25 16:35:12.545	13.9s	7s	101.2%	43.2 MB	48.2 MB	18.9 MB	14.3 KB
471	d7/326716	2408540	call_sv_dup (91)	COMPLETED	0	2025-12-25 16:35:12.626	13.8s	7s	96.2%	39.7 MB	580.4 MB	16.4 MB	15.6 KB
157	34/9ec78c	2408127	call_sv_del (32)	COMPLETED	0	2025-12-25 16:35:12.559	16.1s	7s	101.1%	44.2 MB	49.3 MB	20 MB	14.3 KB
40	33/45be83	2408266	call_sv_dup (7)	COMPLETED	0	2025-12-25 16:35:12.583	16.1s	6s	101.0%	38.7 MB	43.9 MB	15.6 MB	15.7 KB
297	e8/c07942	2408618	call_sv_dup (44)	COMPLETED	0	2025-12-25 16:35:12.637	16s	7s	100.8%	43.4 MB	48.2 MB	18.6 MB	15.7 KB
249	ab/c7dc5b	2419527	get_depth (38)	COMPLETED	0	2025-12-25 16:35:14.062	14.6s	0ms	89.5%	1.7 MB	7.1 MB	3.8 MB	1.6 KB
90	4a/b943fe	2407895	call_sv_dup (12)	COMPLETED	0	2025-12-25 16:35:12.455	16.3s	7s	98.3%	42.8 MB	47.9 MB	18.6 MB	15.7 KB
84	72/9f7c4b	2408041	call_sv_del (19)	COMPLETED	0	2025-12-25 16:35:12.532	16.2s	6s	98.5%	37.1 MB	42.2 MB	16.1 MB	14.3 KB
162	49/ed4115	2407958	call_sv_del (33)	COMPLETED	0	2025-12-25 16:35:12.492	16.5s	11s	99.6%	58.2 MB	63.4 MB	27.7 MB	14.4 KB
374	b3/c1ce47	2420596	get_depth (70)	COMPLETED	0	2025-12-25 16:35:16.554	12.5s	0ms	34.0%	1.5 MB	7.1 MB	3.7 MB	1.6 KB
248	97/53a570	2420599	get_depth (37)	COMPLETED	0	2025-12-25 16:35:16.564	12.5s	0ms	84.0%	1.7 MB	7.1 MB	4.6 MB	1.6 KB
476	da/95084d	2423847	format_snvs (1)	COMPLETED	0	2025-12-25 16:35:21.572	8.1s	0ms	52.6%	1.5 MB	7.4 MB	249.2 KB	120.3 KB
42	08/692e69	2423658	get_depth (8)	COMPLETED	0	2025-12-25 16:35:21.515	10s	1s	17.1%	1.5 MB	7.1 MB	3.8 MB	1.6 KB
17	6b/c534e7	2423667	call_snvs2 (4)	COMPLETED	0	2025-12-25 16:35:21.521	10s	1s	503.2%	1 MB	7.9 MB	2.9 MB	257 KB
478	2d/e43de9	2425099	analyse_1 (NA18524.10x.short)	COMPLETED	0	2025-12-25 16:35:28.689	2.8s	0ms	56.7%	2.1 MB	7.8 MB	48.2 KB	1.4 KB
479	40/489149	2425430	analyse_1 (NA17641.10x.short)	COMPLETED	0	2025-12-25 16:35:28.763	2.8s	0ms	83.4%	1.7 MB	7.6 MB	48.2 KB	1.5 KB
477	6f/45b1a2	2424815	analyse_1 (NA07357.10x.short)	COMPLETED	0	2025-12-25 16:35:26.474	5.4s	0ms	85.5%	2.1 MB	7.8 MB	48.2 KB	1.4 KB
397	9a/9ccfa0	2423639	call_snvs1 (93)	COMPLETED	0	2025-12-25 16:35:21.496	10.5s	1s	474.8%	1 MB	7.9 MB	3.2 MB	324.8 KB
79	0b/78d3ab	2425080	get_depth (14)	COMPLETED	0	2025-12-25 16:35:28.676	3.7s	0ms	20.5%	1.7 MB	7.1 MB	4.2 MB	1.6 KB
161	b2/d8ede3	2423628	call_snvs2 (43)	COMPLETED	0	2025-12-25 16:35:21.467	12.3s	1s	422.3%	1 MB	7.9 MB	3.7 MB	345.5 KB
185	e5/9d31b4	2423646	call_snvs2 (52)	COMPLETED	0	2025-12-25 16:35:21.509	12.3s	1s	701.8%	10.5 MB	1.7 GB	3.6 MB	343.8 KB
393	55/c8fb7f	2423677	call_snvs1 (89)	COMPLETED	0	2025-12-25 16:35:21.526	12.3s	1s	529.8%	11.7 MB	1.7 GB	3.5 MB	312.9 KB
375	d6/0adb2b	2423724	call_snvs1 (77)	COMPLETED	0	2025-12-25 16:35:21.542	13.7s	1s	387.3%	1 MB	7.9 MB	3.3 MB	313.6 KB
480	8a/a9198e	2428470	analyse_1 (NA17235.10x.short)	COMPLETED	0	2025-12-25 16:35:29.044	6.2s	0ms	36.3%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
74	4b/260ffd	2423694	call_snvs2 (16)	COMPLETED	0	2025-12-25 16:35:21.531	13.8s	1s	442.3%	1 MB	7.9 MB	3.3 MB	282.7 KB
361	b4/4dc187	2423707	call_snvs1 (72)	COMPLETED	0	2025-12-25 16:35:21.536	14.9s	1s	305.0%	1 MB	7.9 MB	3.3 MB	304.4 KB
343	c3/0e8ab2	2428411	get_depth (52)	COMPLETED	0	2025-12-25 16:35:29.032	7.4s	0ms	87.5%	1.5 MB	7.1 MB	4.2 MB	1.6 KB
