task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
219	01/39f411	2060608	get_depth (57)	COMPLETED	0	2025-12-25 10:38:50.164	1.7s	0ms	102.4%	1.5 MB	7.1 MB	8.4 MB	1.6 KB
101	f1/685ef0	2060669	get_depth (23)	COMPLETED	0	2025-12-25 10:38:50.180	1.8s	0ms	104.2%	1.7 MB	7.1 MB	7.8 MB	1.6 KB
306	17/f5b2f1	2060583	call_snvs2 (60)	COMPLETED	0	2025-12-25 10:38:50.157	2.3s	1s	493.1%	20.5 MB	1.7 GB	4.4 MB	623 KB
230	e8/441882	2060550	call_snvs1 (47)	COMPLETED	0	2025-12-25 10:38:50.141	5.4s	2s	525.7%	20.3 MB	1.7 GB	5.1 MB	683.9 KB
66	a4/7bb7c0	2060770	call_snvs2 (11)	COMPLETED	0	2025-12-25 10:38:50.199	5.3s	2s	526.7%	20.3 MB	1.7 GB	5.1 MB	551 KB
333	a5/0b894d	2060730	call_sv_dup (53)	COMPLETED	0	2025-12-25 10:38:50.191	7.2s	2s	98.8%	41.9 MB	53.5 MB	5 MB	15.6 KB
31	df/e416d4	2065833	get_depth (7)	COMPLETED	0	2025-12-25 10:38:51.873	5.5s	0ms	85.0%	1.5 MB	7.1 MB	8.1 MB	1.6 KB
51	6a/ad8ba1	2065876	get_depth (12)	COMPLETED	0	2025-12-25 10:38:51.954	5.4s	1s	85.8%	1.5 MB	7.1 MB	8.4 MB	1.6 KB
315	7d/e9dd08	2060535	call_snvs1 (65)	COMPLETED	0	2025-12-25 10:38:50.119	7.3s	2s	535.4%	20.1 MB	1.7 GB	5.8 MB	777.7 KB
289	95/597368	2060541	call_sv_del (67)	COMPLETED	0	2025-12-25 10:38:50.133	7.3s	2s	96.1%	41.7 MB	53.2 MB	5 MB	14.3 KB
68	32/2a687a	2060567	call_sv_dup (14)	COMPLETED	0	2025-12-25 10:38:50.150	7.3s	2s	97.0%	42 MB	53.2 MB	5.3 MB	15.6 KB
126	59/a14473	2060637	call_sv_del (32)	COMPLETED	0	2025-12-25 10:38:50.172	7.3s	2s	97.5%	42.2 MB	53.5 MB	5.1 MB	14.5 KB
54	41/8512fe	2066725	call_snvs2 (10)	COMPLETED	0	2025-12-25 10:38:52.449	6.3s	2s	436.2%	20.9 MB	1.7 GB	5.2 MB	727.3 KB
10	5f/24cedc	2069251	get_depth (2)	COMPLETED	0	2025-12-25 10:38:57.400	2.1s	1s	89.2%	1.5 MB	7.1 MB	8.5 MB	1.6 KB
109	1f/dbeabb	2067981	call_snvs2 (19)	COMPLETED	0	2025-12-25 10:38:55.562	3.9s	1s	590.3%	21.1 MB	1.7 GB	4.6 MB	546.6 KB
351	8d/6f29b3	2069643	analyse_1 (NA19917.wgs)	COMPLETED	0	2025-12-25 10:38:57.515	3s	0ms	36.0%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
328	df/937b74	2067971	call_snvs1 (70)	COMPLETED	0	2025-12-25 10:38:55.543	5.1s	2s	489.2%	19.2 MB	1.7 GB	6 MB	795.1 KB
352	9c/c0ed24	2069547	analyse_1 (NA11832.wgs)	COMPLETED	0	2025-12-25 10:38:57.503	3.1s	0ms	31.8%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
79	27/64515f	2069240	get_depth (17)	COMPLETED	0	2025-12-25 10:38:57.393	3.5s	0ms	89.3%	1.5 MB	7.1 MB	8.3 MB	1.6 KB
180	4f/977940	2069233	call_sv_dup (29)	COMPLETED	0	2025-12-25 10:38:57.385	3.6s	2s	99.8%	42.6 MB	54 MB	4.6 MB	15.6 KB
282	c4/07c009	2069399	call_snvs1 (59)	COMPLETED	0	2025-12-25 10:38:57.473	4s	1s	366.9%	21.5 MB	1.7 GB	5.2 MB	713.2 KB
15	97/edda01	2069431	call_sv_dup (3)	COMPLETED	0	2025-12-25 10:38:57.481	5.2s	2s	97.9%	42.7 MB	52.7 MB	3.9 MB	15.6 KB
56	14/ff8214	2069458	call_sv_del (12)	COMPLETED	0	2025-12-25 10:38:57.489	5.3s	2s	101.3%	44.1 MB	54 MB	5 MB	14.5 KB
64	4a/e0950c	2069495	call_sv_del (16)	COMPLETED	0	2025-12-25 10:38:57.495	5.3s	2s	100.0%	42.2 MB	53.3 MB	4.8 MB	14.5 KB
205	cd/2c232c	2073224	get_depth (44)	COMPLETED	0	2025-12-25 10:38:59.461	3.4s	0ms	90.2%	1.7 MB	7.1 MB	7.6 MB	1.6 KB
83	fa/4d2cd6	2075383	get_depth (19)	COMPLETED	0	2025-12-25 10:39:00.876	4.1s	0ms	106.8%	1.5 MB	7.1 MB	9 MB	1.6 KB
21	66/4294eb	2071927	call_snvs2 (4)	COMPLETED	0	2025-12-25 10:38:58.799	6.3s	2s	344.9%	20.8 MB	1.7 GB	5 MB	717.6 KB
168	c7/c271a1	2073267	call_snvs2 (32)	COMPLETED	0	2025-12-25 10:38:59.513	5.6s	1s	456.9%	21.7 MB	1.7 GB	5.6 MB	729.7 KB
91	9d/ae1617	2074927	call_snvs1 (18)	COMPLETED	0	2025-12-25 10:39:00.644	4.5s	1s	416.9%	21.2 MB	1.7 GB	5.2 MB	689.1 KB
332	4b/fb04c5	2075521	call_sv_dup (52)	COMPLETED	0	2025-12-25 10:39:00.966	4.1s	3s	96.5%	43.9 MB	1.7 GB	4.7 MB	15.6 KB
238	62/de3f0c	2077621	call_snvs1 (48)	COMPLETED	0	2025-12-25 10:39:01.531	5.9s	2s	435.3%	20.5 MB	1.7 GB	5.4 MB	734.2 KB
210	99/24cac0	2079398	get_depth (49)	COMPLETED	0	2025-12-25 10:39:02.853	4.7s	0ms	88.7%	1.5 MB	7.1 MB	8.9 MB	1.6 KB
354	13/a436f2	2079429	analyse_1 (NA10831.wgs)	COMPLETED	0	2025-12-25 10:39:02.861	4.7s	0ms	30.0%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
353	54/0a296d	2079457	analyse_1 (NA12145.wgs)	COMPLETED	0	2025-12-25 10:39:02.867	4.7s	0ms	35.4%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
38	40/c33430	2081191	get_depth (9)	COMPLETED	0	2025-12-25 10:39:04.988	2.6s	0ms	85.9%	1.5 MB	7.1 MB	10 MB	1.6 KB
77	df/3cc1ec	2079378	call_sv_del (18)	COMPLETED	0	2025-12-25 10:39:02.838	6.8s	2s	98.5%	41.9 MB	53.3 MB	4.8 MB	14.5 KB
89	cb/96cda6	2079382	call_sv_del (23)	COMPLETED	0	2025-12-25 10:39:02.846	6.9s	2s	98.9%	45.6 MB	1.7 GB	4.5 MB	14.5 KB
161	a8/5bf2ad	2081237	call_snvs2 (30)	COMPLETED	0	2025-12-25 10:39:05.109	4.6s	2s	435.7%	20.7 MB	1.7 GB	5.4 MB	698.2 KB
