task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
139	0c/f771a4	2717562	get_depth (26)	COMPLETED	0	2025-12-25 10:53:22.527	2.7s	1s	99.9%	1.5 MB	7.1 MB	5.9 MB	1.4 KB
181	dc/37b933	2717597	get_depth (51)	COMPLETED	0	2025-12-25 10:53:22.537	2.8s	1s	105.5%	1.5 MB	7.1 MB	6.5 MB	1.4 KB
185	7b/9d319b	2717505	call_sv_dup (50)	COMPLETED	0	2025-12-25 10:53:22.483	3.2s	3s	98.7%	44.9 MB	55.3 MB	4.7 MB	15.7 KB
325	89/54c561	2717662	call_sv_del (60)	COMPLETED	0	2025-12-25 10:53:22.553	3.5s	3s	100.4%	43.8 MB	54.3 MB	3.8 MB	14.5 KB
82	b8/1a3cd1	2717698	call_sv_dup (16)	COMPLETED	0	2025-12-25 10:53:22.559	4.4s	3s	100.5%	44.9 MB	55.2 MB	5.2 MB	15.7 KB
213	3d/a24ffc	2717521	call_snvs2 (28)	COMPLETED	0	2025-12-25 10:53:22.502	8.2s	3s	588.1%	22.8 MB	1.7 GB	8.5 MB	892.8 KB
259	24/55deb5	2717548	call_sv_del (42)	COMPLETED	0	2025-12-25 10:53:22.521	13.2s	3s	99.5%	43.6 MB	55.7 MB	5.3 MB	14.5 KB
65	06/3f9b0c	2717617	call_snvs2 (14)	COMPLETED	0	2025-12-25 10:53:22.542	13.2s	3s	536.0%	22.6 MB	1.7 GB	9.5 MB	1005 KB
81	ac/f9c5b3	2717636	call_snvs1 (20)	COMPLETED	0	2025-12-25 10:53:22.548	13.2s	4s	459.4%	23.3 MB	1.7 GB	10 MB	1.1 MB
281	4a/c55720	2726741	get_depth (69)	COMPLETED	0	2025-12-25 10:53:25.269	10.5s	0ms	85.0%	1.7 MB	7.1 MB	6.3 MB	1.4 KB
257	6f/e45496	2726996	get_depth (66)	COMPLETED	0	2025-12-25 10:53:25.359	10.4s	0ms	82.4%	1.5 MB	7.1 MB	6.5 MB	1.4 KB
