task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
92	9c/866d46	1737305	get_depth (17)	COMPLETED	0	2025-12-25 10:30:35.167	1.1s	0ms	103.2%	1.5 MB	7.1 MB	8.9 MB	1.6 KB
138	8c/67fcb7	1737351	get_depth (28)	COMPLETED	0	2025-12-25 10:30:35.186	1.3s	0ms	103.3%	1.5 MB	7.1 MB	8.9 MB	1.6 KB
195	16/a373af	1737283	call_snvs2 (38)	COMPLETED	0	2025-12-25 10:30:35.153	3.5s	1s	562.2%	1 MB	7.9 MB	3.5 MB	264.2 KB
89	72/ddab4b	1737380	call_snvs1 (18)	COMPLETED	0	2025-12-25 10:30:35.193	3.5s	1s	523.3%	1.2 MB	8 MB	3.9 MB	317.4 KB
84	67/bf3ee4	1737489	call_snvs1 (17)	COMPLETED	0	2025-12-25 10:30:35.216	3.5s	1s	506.9%	1.2 MB	8 MB	4 MB	374.1 KB
20	f6/fb534d	1737281	call_sv_dup (5)	COMPLETED	0	2025-12-25 10:30:35.143	5.2s	2s	99.8%	32.5 MB	44.3 MB	4.3 MB	15.7 KB
301	c6/6c72f0	1737293	call_sv_del (62)	COMPLETED	0	2025-12-25 10:30:35.160	5.2s	2s	100.0%	32.3 MB	44.4 MB	4.6 MB	14.4 KB
183	96/4bf1c6	1737330	call_sv_dup (38)	COMPLETED	0	2025-12-25 10:30:35.178	5.2s	2s	100.6%	32.4 MB	44.7 MB	4.3 MB	15.8 KB
111	b2/7727af	1737413	call_sv_del (22)	COMPLETED	0	2025-12-25 10:30:35.202	5.2s	2s	100.5%	32.1 MB	43.8 MB	4.3 MB	14.4 KB
9	fc/18e97a	1737453	call_snvs2 (2)	COMPLETED	0	2025-12-25 10:30:35.209	5.2s	1s	520.7%	1.2 MB	7.9 MB	4.1 MB	344.8 KB
158	10/75f2a8	1742543	get_depth (33)	COMPLETED	0	2025-12-25 10:30:36.284	4.1s	1s	93.4%	1.5 MB	7.1 MB	8.4 MB	1.6 KB
100	1c/288391	1743073	get_depth (18)	COMPLETED	0	2025-12-25 10:30:36.501	4.9s	1s	86.8%	1.4 MB	4.3 MB	10 MB	1.6 KB
129	de/168adf	1744269	call_snvs1 (27)	COMPLETED	0	2025-12-25 10:30:38.683	3.8s	1s	550.5%	1 MB	7.9 MB	3.8 MB	295.6 KB
352	93/d96b09	1744734	analyse_1 (NA19143.wgs)	COMPLETED	0	2025-12-25 10:30:40.483	2s	0ms	51.5%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
61	8b/696d4f	1744260	call_snvs2 (14)	COMPLETED	0	2025-12-25 10:30:38.669	4.3s	1s	629.0%	1 MB	7.9 MB	4 MB	349.8 KB
351	92/0a7f2f	1744689	analyse_1 (NA18565.wgs)	COMPLETED	0	2025-12-25 10:30:40.471	2.5s	0ms	48.7%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
279	4e/353fca	1744284	call_snvs1 (59)	COMPLETED	0	2025-12-25 10:30:38.701	6.1s	1s	573.1%	21.3 MB	1.7 GB	4.1 MB	357 KB
224	e8/108c4a	1744605	get_depth (48)	COMPLETED	0	2025-12-25 10:30:40.436	4.4s	1s	94.5%	1.5 MB	7.1 MB	9 MB	1.6 KB
22	34/75460e	1744611	call_sv_dup (6)	COMPLETED	0	2025-12-25 10:30:40.443	4.4s	2s	98.8%	32.6 MB	44.3 MB	4.6 MB	15.7 KB
36	44/c8947a	1744622	call_sv_del (8)	COMPLETED	0	2025-12-25 10:30:40.450	4.4s	2s	98.8%	32.7 MB	44.5 MB	4.5 MB	14.4 KB
65	5b/2f28ef	1744635	call_snvs2 (15)	COMPLETED	0	2025-12-25 10:30:40.456	4.4s	1s	349.6%	1.9 MB	7.9 MB	4 MB	346.6 KB
308	83/704671	1744652	call_sv_del (64)	COMPLETED	0	2025-12-25 10:30:40.462	4.4s	2s	96.9%	32.3 MB	44.3 MB	4.6 MB	14.4 KB
87	54/f33537	1747893	get_depth (16)	COMPLETED	0	2025-12-25 10:30:41.405	3.4s	1s	97.3%	1.7 MB	7.1 MB	9.1 MB	1.6 KB
34	52/641b81	1744600	call_sv_dup (8)	COMPLETED	0	2025-12-25 10:30:40.428	4.9s	2s	97.7%	32.5 MB	44.5 MB	4.6 MB	15.8 KB
96	aa/517e7b	1750262	call_snvs1 (19)	COMPLETED	0	2025-12-25 10:30:42.474	2.9s	1s	384.9%	1.1 MB	7.9 MB	3.9 MB	312.4 KB
354	a0/e24935	1753063	analyse_1 (NA18868.wgs)	COMPLETED	0	2025-12-25 10:30:44.918	1.4s	0ms	15.0%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
353	6c/460497	1753090	analyse_1 (NA18617.wgs)	COMPLETED	0	2025-12-25 10:30:44.922	1.4s	0ms	33.7%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
317	38/c50f8b	1753035	get_depth (67)	COMPLETED	0	2025-12-25 10:30:44.912	2.8s	1s	101.9%	1.5 MB	7.1 MB	8.5 MB	1.6 KB
342	91/a90299	1750625	call_snvs2 (65)	COMPLETED	0	2025-12-25 10:30:42.950	4.9s	1s	451.0%	1 MB	7.9 MB	4.1 MB	348.6 KB
70	60/93309a	1752853	call_snvs1 (15)	COMPLETED	0	2025-12-25 10:30:44.816	3s	1s	537.4%	1 MB	7.9 MB	4 MB	352.6 KB
130	8b/6dbb4f	1752892	get_depth (26)	COMPLETED	0	2025-12-25 10:30:44.865	3s	1s	101.2%	1.5 MB	7.1 MB	7.9 MB	1.6 KB
93	0f/d5d0f5	1752950	call_snvs2 (21)	COMPLETED	0	2025-12-25 10:30:44.891	5.5s	1s	520.9%	1 MB	7.9 MB	3.7 MB	290.9 KB
66	ba/27447a	1753945	call_snvs1 (14)	COMPLETED	0	2025-12-25 10:30:45.397	5s	1s	391.7%	1.2 MB	8 MB	4 MB	355.9 KB
163	0b/aae881	1753943	call_sv_dup (34)	COMPLETED	0	2025-12-25 10:30:45.388	6.1s	2s	100.5%	32.9 MB	45 MB	4.9 MB	15.6 KB
50	4c/7b3095	1752882	call_sv_del (12)	COMPLETED	0	2025-12-25 10:30:44.855	6.7s	3s	99.6%	33.2 MB	45.2 MB	5 MB	14.4 KB
144	f8/ce8ac3	1752910	call_sv_del (29)	COMPLETED	0	2025-12-25 10:30:44.873	6.6s	2s	99.4%	33 MB	45.2 MB	4.3 MB	14.4 KB
46	22/8cd302	1753009	call_sv_dup (10)	COMPLETED	0	2025-12-25 10:30:44.905	6.6s	2s	99.8%	32.5 MB	44.3 MB	4.6 MB	15.8 KB
198	9c/6e1890	1759470	get_depth (40)	COMPLETED	0	2025-12-25 10:30:47.724	4s	1s	99.6%	1.5 MB	7.1 MB	7.3 MB	1.6 KB
355	c2/18fd9b	1759831	format_snvs (1)	COMPLETED	0	2025-12-25 10:30:47.854	3.9s	0ms	39.8%	1.5 MB	7.4 MB	254.8 KB	123.6 KB
41	17/67b8e7	1759606	get_depth (8)	COMPLETED	0	2025-12-25 10:30:47.839	4s	1s	98.5%	1.5 MB	7.1 MB	9.2 MB	1.6 KB
274	93/5768f7	1759582	call_snvs2 (51)	COMPLETED	0	2025-12-25 10:30:47.825	4.9s	1s	594.1%	1.1 MB	7.9 MB	3.7 MB	345.8 KB
54	49/ade9e4	1759618	call_snvs1 (11)	COMPLETED	0	2025-12-25 10:30:47.846	4.9s	2s	463.5%	20.2 MB	1.7 GB	4.4 MB	477.9 KB
356	6c/f50ff5	1760324	format_snvs (2)	COMPLETED	0	2025-12-25 10:30:50.400	2.4s	1s	20.6%	1.5 MB	7.4 MB	236.1 KB	111.2 KB
357	12/3d0f05	1762778	analyse_1 (NA12145.wgs)	COMPLETED	0	2025-12-25 10:30:51.549	3.9s	0ms	55.2%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
358	48/ac6549	1762801	analyse_1 (NA07348.wgs)	COMPLETED	0	2025-12-25 10:30:51.554	3.9s	0ms	43.1%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
343	34/c715da	1760314	call_snvs2 (66)	COMPLETED	0	2025-12-25 10:30:50.380	6.3s	1s	548.3%	1.2 MB	7.9 MB	4.1 MB	364 KB
265	ee/684ce8	1760317	call_snvs1 (53)	COMPLETED	0	2025-12-25 10:30:50.391	6.3s	1s	557.7%	1.2 MB	8 MB	4.1 MB	339 KB
227	3c/08ba66	1762550	call_sv_dup (45)	COMPLETED	0	2025-12-25 10:30:51.514	5.2s	2s	99.2%	32.8 MB	44.9 MB	4.7 MB	15.7 KB
127	58/018887	1762750	call_sv_dup (25)	COMPLETED	0	2025-12-25 10:30:51.525	5.2s	2s	98.4%	32.7 MB	44.7 MB	4.7 MB	15.8 KB
162	c9/7dfb83	1762753	call_sv_del (34)	COMPLETED	0	2025-12-25 10:30:51.535	5.2s	2s	98.2%	32.6 MB	44.9 MB	4.9 MB	14.4 KB
255	fa/a92888	1763275	get_depth (56)	COMPLETED	0	2025-12-25 10:30:51.715	5s	1s	96.2%	1.7 MB	7.1 MB	8.4 MB	1.6 KB
64	88/32be9d	1763728	get_depth (11)	COMPLETED	0	2025-12-25 10:30:51.840	4.9s	1s	93.9%	1.5 MB	7.1 MB	9.6 MB	1.6 KB
360	b1/98e4fa	1763779	save_vcfs (NA19095.wgs)	COMPLETED	0	2025-12-25 10:30:51.850	4.9s	0ms	59.4%	0	0	48.9 KB	11.8 KB
