task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
56	f7/379f92	959420	get_depth (10)	COMPLETED	0	2025-12-25 12:20:05.352	1.1s	1s	98.3%	1.7 MB	7.1 MB	5 MB	1.4 KB
275	86/f43129	959509	get_depth (50)	COMPLETED	0	2025-12-25 12:20:05.386	1.5s	1s	100.7%	1.5 MB	7.1 MB	5 MB	1.4 KB
19	3c/995e63	959402	call_snvs1 (3)	COMPLETED	0	2025-12-25 12:20:05.341	5.5s	1s	685.0%	1 MB	7.9 MB	3.4 MB	259.8 KB
155	8e/89f16f	959476	call_snvs2 (27)	COMPLETED	0	2025-12-25 12:20:05.376	5.5s	1s	593.1%	1.1 MB	7.9 MB	3.5 MB	292.9 KB
69	b3/941485	959621	call_snvs2 (17)	COMPLETED	0	2025-12-25 12:20:05.414	5.5s	1s	722.1%	1.2 MB	8 MB	3.6 MB	320.2 KB
32	6e/91671e	959662	call_snvs1 (6)	COMPLETED	0	2025-12-25 12:20:05.424	7.1s	1s	482.2%	19.8 MB	1.7 GB	3.6 MB	353.9 KB
105	1a/22dc3d	964058	get_depth (19)	COMPLETED	0	2025-12-25 12:20:06.490	6.1s	1s	86.0%	1.7 MB	7.1 MB	5.2 MB	1.4 KB
338	3e/786302	959580	call_sv_dup (62)	COMPLETED	0	2025-12-25 12:20:05.405	7.2s	5s	98.8%	35.2 MB	45 MB	8.2 MB	16 KB
320	53/d807cf	965353	get_depth (63)	COMPLETED	0	2025-12-25 12:20:06.864	6.8s	0ms	80.9%	1.5 MB	7.1 MB	5.7 MB	1.4 KB
253	b8/b448db	966580	call_snvs2 (50)	COMPLETED	0	2025-12-25 12:20:10.937	3.4s	1s	731.7%	1 MB	7.9 MB	3.8 MB	285.8 KB
44	92/e04cc6	966571	call_snvs1 (8)	COMPLETED	0	2025-12-25 12:20:10.919	3.8s	1s	654.2%	1.1 MB	7.9 MB	3.5 MB	310.9 KB
1	3c/b6fb1d	967053	get_depth (1)	COMPLETED	0	2025-12-25 12:20:12.594	2.4s	1s	84.1%	1.5 MB	7.1 MB	5 MB	1.4 KB
186	33/cf205c	966586	call_snvs2 (35)	COMPLETED	0	2025-12-25 12:20:10.944	5s	2s	588.8%	20.8 MB	1.7 GB	5 MB	497.7 KB
316	3d/a1728a	970001	get_depth (61)	COMPLETED	0	2025-12-25 12:20:13.646	2.3s	1s	97.0%	1.7 MB	7.1 MB	6.1 MB	1.4 KB
243	5f/b99f6e	959441	call_sv_dup (43)	COMPLETED	0	2025-12-25 12:20:05.362	10.6s	9s	99.8%	40.2 MB	50 MB	10.5 MB	16 KB
64	b0/ee3027	967051	call_snvs1 (11)	COMPLETED	0	2025-12-25 12:20:12.587	4.2s	1s	381.9%	1.2 MB	8 MB	3.7 MB	363.4 KB
143	e0/358533	959386	call_sv_del (35)	COMPLETED	0	2025-12-25 12:20:05.315	11.5s	10s	100.0%	42.6 MB	52.5 MB	11.6 MB	14.8 KB
250	7c/95bf88	959392	call_sv_del (61)	COMPLETED	0	2025-12-25 12:20:05.330	11.7s	10s	100.1%	40.1 MB	50.1 MB	10.6 MB	14.7 KB
169	f4/5c37a6	972738	get_depth (32)	COMPLETED	0	2025-12-25 12:20:15.031	2.6s	0ms	92.0%	1.5 MB	7.1 MB	5.4 MB	1.4 KB
41	1a/cd118e	972137	call_snvs2 (12)	COMPLETED	0	2025-12-25 12:20:14.390	3.5s	1s	525.5%	1.8 MB	7.9 MB	4 MB	326.1 KB
107	8b/d67059	972733	call_snvs1 (21)	COMPLETED	0	2025-12-25 12:20:15.018	3s	1s	390.0%	1.2 MB	8 MB	3.8 MB	297.9 KB
322	30/0f22b2	973737	get_depth (64)	COMPLETED	0	2025-12-25 12:20:15.921	3.1s	1s	89.0%	1.5 MB	7.1 MB	5.2 MB	1.4 KB
352	2f/5dd341	976869	analyse_1 (NA19207.wgs)	COMPLETED	0	2025-12-25 12:20:17.232	1.9s	0ms	39.8%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
133	98/abe1b4	973730	call_snvs2 (24)	COMPLETED	0	2025-12-25 12:20:15.913	3.3s	2s	393.1%	2.3 MB	7.9 MB	3.8 MB	313.7 KB
351	b7/3b4e23	976867	analyse_1 (NA19908.wgs)	COMPLETED	0	2025-12-25 12:20:17.226	3s	0ms	44.3%	1.5 MB	7.4 MB	48.4 KB	1.5 KB
25	b4/a2b3c1	975491	call_snvs1 (4)	COMPLETED	0	2025-12-25 12:20:16.761	3.5s	1s	381.6%	2.1 MB	10.8 MB	3.8 MB	331 KB
75	f9/2e8bc1	977400	get_depth (13)	COMPLETED	0	2025-12-25 12:20:17.677	2.6s	0ms	88.3%	1.7 MB	7.1 MB	5.2 MB	1.4 KB
344	19/4af2de	977697	call_snvs2 (70)	COMPLETED	0	2025-12-25 12:20:17.937	2.9s	1s	616.8%	1.2 MB	7.9 MB	4.1 MB	330.3 KB
217	8f/3c3734	977943	call_snvs1 (44)	COMPLETED	0	2025-12-25 12:20:18.035	3.2s	1s	586.2%	2.1 MB	8 MB	3.8 MB	325.3 KB
296	d8/cf19e9	979616	get_depth (54)	COMPLETED	0	2025-12-25 12:20:19.070	2.2s	0ms	85.5%	2.4 MB	7.9 MB	5.7 MB	1.4 KB
2	97/27a87a	967098	call_sv_dup (1)	COMPLETED	0	2025-12-25 12:20:12.651	9.4s	8s	101.1%	38.6 MB	48.3 MB	9.3 MB	15.9 KB
289	32/4c289d	980044	call_snvs2 (56)	COMPLETED	0	2025-12-25 12:20:19.264	2.8s	1s	517.0%	1.2 MB	8 MB	3.9 MB	306.2 KB
62	d1/779ce8	982372	get_depth (11)	COMPLETED	0	2025-12-25 12:20:20.297	2.1s	0ms	97.7%	1.5 MB	7.1 MB	5.5 MB	1.4 KB
137	97/4850ea	982329	call_snvs1 (29)	COMPLETED	0	2025-12-25 12:20:20.285	2.5s	1s	487.6%	1.1 MB	7.9 MB	3.8 MB	329.7 KB
291	31/2d953d	983121	call_snvs2 (57)	COMPLETED	0	2025-12-25 12:20:20.889	2.4s	1s	445.8%	1.2 MB	8 MB	3.9 MB	328.1 KB
31	14/37a075	984595	get_depth (6)	COMPLETED	0	2025-12-25 12:20:21.296	2.3s	0ms	91.9%	1.5 MB	7.1 MB	5.8 MB	1.4 KB
252	7b/7f0017	984544	call_snvs1 (55)	COMPLETED	0	2025-12-25 12:20:21.241	2.8s	1s	324.9%	19.5 MB	1.7 GB	4 MB	354.8 KB
24	de/5ea5ca	987653	get_depth (5)	COMPLETED	0	2025-12-25 12:20:22.432	2.1s	1s	84.1%	1.7 MB	7.1 MB	5.1 MB	1.4 KB
334	06/8a1332	973823	call_sv_dup (60)	COMPLETED	0	2025-12-25 12:20:16.004	8.6s	7s	101.0%	37.5 MB	47.1 MB	7.3 MB	15.9 KB
