Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1766383880.656	     5.833	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/HG00276.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/HG00276.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/HG00276.10x.short.stdout 2>&1
2	:	1766383880.661	     5.868	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/HG00589.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/HG00589.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/HG00589.10x.short.stdout 2>&1
4	:	1766383886.536	     0.447	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA06991.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA06991.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA06991.10x.short.stdout 2>&1
3	:	1766383886.496	     0.519	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/HG01190.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/HG01190.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/HG01190.10x.short.stdout 2>&1
5	:	1766383886.989	     0.421	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA07000.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA07000.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA07000.10x.short.stdout 2>&1
6	:	1766383887.022	     0.544	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA07019.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA07019.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA07019.10x.short.stdout 2>&1
7	:	1766383887.417	     0.496	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA07029.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA07029.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA07029.10x.short.stdout 2>&1
8	:	1766383887.573	     0.421	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA07055.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA07055.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA07055.10x.short.stdout 2>&1
10	:	1766383888.001	     0.404	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA07348.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA07348.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA07348.10x.short.stdout 2>&1
9	:	1766383887.920	     0.490	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA07056.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA07056.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA07056.10x.short.stdout 2>&1
