ID,GeT-RM
HG00276,4
HG00436,2;2;71
HG00589,1;21
HG01190,68;4
NA06991,1;4
NA07000,9;35
NA07019,1;4
NA07029,1;35
NA07055,4;4
NA07056,2;4
NA07348,1;6
NA07357,1;6
NA10831,4
NA10847,1;41
NA10851,1;4
NA10854,1;4
NA11832,1;68;4
NA11839,1;2
NA11993,1;9
NA12003,4;35
NA12006,4;41
NA12145,1;4
NA12156,1;4
NA12717,1;1
NA12813,2;4
NA12873,1
NA18484,1;17
NA18509,2;17
NA18518,17;29
NA18519,29;106
NA18524,1;36;36;10
NA18526,1;36;36;10
NA18540,36;36;10;41
NA18544,10;41
NA18552,1;14
NA18564,2;36;10
NA18565,10;36;36
NA18617,36;10;36;10
NA18855,1
NA18861,29
NA18868,2
NA18942,2;2
NA18952,2;2
NA18959,2;36;10
NA18966,1;2
NA18973,1;21
NA18980,2;36;10
NA18992,1
NA19003,1;1
NA19007,1;1
NA19095,1;29
NA19109,2;2;29
NA19122,2;17
NA19143,10;45
NA19147,17;29
NA19174,4;40
NA19176,1;2
NA19178,1;1
NA19207,2;2;10
NA19213,1;1
NA19226,2;2;2
NA19239,15;17
NA19789,1;1
NA19819,2;4;4
NA19908,1;46
NA19917,1;40
NA19920,1;4;4
NA20296,1;2
NA20509,4;35
NA21781,2;2;68;4
