ID,GroundTruth,Prediction,Correct
HG00276,4,4,1
HG00436,2;2;71,2;2;71,1
HG00589,1;21,1;21,1
HG01190,4;68,4;68,1
NA06991,1;4,1;4,1
NA07000,35;9,35;9,1
NA07019,1;4,1;4,1
NA07029,1;35,1;35,1
NA07055,4;4,4;4,1
NA07056,2;4,2;4,1
NA07348,1;6,1;6,1
NA07357,1;6,1;6,1
NA10831,4,4,1
NA10847,1;41,1;41,1
NA10851,1;4,1;4,1
NA10854,1;4,1;4,1
NA11832,1;4;68,1;4;68,1
NA11839,1;2,1;2,1
NA11993,1;9,1;9,1
NA12003,35;4,35;4,1
NA12006,4;41,4;41,1
NA12145,1;4,1;4,1
NA12156,1;4,1;4,1
NA12717,1;1,1;1,1
NA12813,2;4,2;4,1
NA12873,1,1,1
NA18484,1;17,1;17,1
NA18509,17;2,17;2,1
NA18518,17;29,17;29,1
NA18519,106;29,106;29,1
NA18524,1;10;36;36,1;10;36;36,1
NA18526,1;10;36;36,1;10;36;36,1
NA18540,10;36;36;41,10;36;36;41,1
NA18544,10;41,10;41,1
NA18552,1;14,1;14,1
NA18564,10;2;36,10;2;36,1
NA18565,10;36;36,10;36;36,1
NA18617,10;10;36;36,10;10;36;36,1
NA18855,1,1,1
NA18861,29,29,1
NA18868,2,2,1
NA18942,2;2,2;2,1
NA18952,2;2,2;2,1
NA18959,10;2;36,10;2;36,1
NA18966,1;2,1;2,1
NA18973,1;21,1;21,1
NA18980,10;2;36,10;2;36,1
NA18992,1,1,1
NA19003,1;1,1;1,1
NA19007,1;1,1;1,1
NA19095,1;29,1;29,1
NA19109,2;2;29,2;2;29,1
NA19122,17;2,17;2,1
NA19143,10;45,10;45,1
NA19147,17;29,17;29,1
NA19174,4;40,4;40,1
NA19176,1;2,1;2,1
NA19178,1;1,1;1,1
NA19207,10;2;2,10;2;2,1
NA19213,1;1,1;1,1
NA19226,2;2;2,2;2;2,1
NA19239,15;17,15;17,1
NA19789,1;1,1;1,1
NA19819,2;4;4,2;4;4,1
NA19908,1;46,1;46,1
NA19917,1;40,1;40,1
NA19920,1;4;4,1;4;4,1
NA20296,1;2,1;2,1
NA20509,35;4,35;4,1
NA21781,2;2;4;68,2;2;4;68,1

Summary
Total,70
Correct,70
Errors,0
Accuracy,100.00%
