task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
78	24/9a2c22	2388634	get_depth (19)	COMPLETED	0	2025-12-25 10:46:50.907	1.7s	0ms	109.5%	1.5 MB	7.1 MB	6.6 MB	1.4 KB
117	4e/18488d	2388685	get_depth (24)	COMPLETED	0	2025-12-25 10:46:50.942	1.8s	0ms	103.7%	1.5 MB	7.1 MB	6.9 MB	1.4 KB
58	c8/0b777f	2388641	call_sv_del (11)	COMPLETED	0	2025-12-25 10:46:50.920	4.7s	2s	98.6%	43.2 MB	53.6 MB	5.2 MB	14.4 KB
62	64/0db7db	2388648	call_sv_del (12)	COMPLETED	0	2025-12-25 10:46:50.926	4.7s	2s	100.3%	42.4 MB	54.4 MB	5.1 MB	14.4 KB
192	94/75ea07	2388657	call_snvs2 (36)	COMPLETED	0	2025-12-25 10:46:50.932	4.7s	2s	493.9%	20.9 MB	1.7 GB	5 MB	640.8 KB
55	9a/58b2a5	2388671	call_snvs2 (12)	COMPLETED	0	2025-12-25 10:46:50.937	4.7s	1s	519.8%	21.4 MB	1.7 GB	5 MB	508.1 KB
79	07/a4db74	2388705	call_snvs1 (14)	COMPLETED	0	2025-12-25 10:46:50.947	4.7s	2s	501.0%	21 MB	1.7 GB	5.5 MB	652.7 KB
161	39/9f9e03	2388731	call_sv_dup (36)	COMPLETED	0	2025-12-25 10:46:50.952	4.7s	2s	99.7%	42.4 MB	53.5 MB	4.9 MB	15.6 KB
11	02/c87a95	2388751	call_snvs1 (3)	COMPLETED	0	2025-12-25 10:46:50.957	4.7s	1s	412.2%	20.7 MB	1.7 GB	4.3 MB	501.6 KB
274	ad/0acb6f	2388782	call_sv_dup (59)	COMPLETED	0	2025-12-25 10:46:50.962	4.7s	2s	99.8%	44.1 MB	54.2 MB	4.6 MB	15.6 KB
308	92/041ba5	2394132	get_depth (55)	COMPLETED	0	2025-12-25 10:46:52.666	3s	1s	97.8%	1.7 MB	7.1 MB	7.4 MB	1.4 KB
197	3e/647c9a	2394167	get_depth (33)	COMPLETED	0	2025-12-25 10:46:52.739	2.9s	0ms	93.4%	1.5 MB	7.1 MB	6.9 MB	1.4 KB
28	b3/26d36f	2396083	get_depth (5)	COMPLETED	0	2025-12-25 10:46:55.712	1.8s	1s	117.3%	1.5 MB	7.1 MB	6.1 MB	1.4 KB
