task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
234	fc/98b45e	1970386	get_depth (48)	COMPLETED	0	2025-12-25 13:23:30.685	1.2s	1s	98.7%	1.5 MB	7.1 MB	9 MB	1.6 KB
53	c0/6bc88b	1970400	get_depth (13)	COMPLETED	0	2025-12-25 13:23:30.721	5.2s	1s	102.0%	1.5 MB	7.1 MB	9.1 MB	1.6 KB
106	0e/6d9daa	1970413	call_sv_dup (23)	COMPLETED	0	2025-12-25 13:23:30.732	10.2s	2s	98.9%	32.4 MB	44.5 MB	4.6 MB	15.8 KB
201	df/c3f614	1970431	call_sv_dup (43)	COMPLETED	0	2025-12-25 13:23:30.741	10.2s	2s	100.8%	32.8 MB	44.7 MB	4.9 MB	15.8 KB
76	9b/e5deeb	1970467	call_sv_del (18)	COMPLETED	0	2025-12-25 13:23:30.760	10.2s	2s	99.7%	32.5 MB	44.5 MB	4.9 MB	14.4 KB
273	6c/e1a933	1970538	call_sv_del (46)	COMPLETED	0	2025-12-25 13:23:30.784	10.2s	2s	99.3%	32.2 MB	44.3 MB	4.7 MB	14.4 KB
253	36/f53216	1970578	call_snvs1 (47)	COMPLETED	0	2025-12-25 13:23:30.795	10.2s	1s	494.1%	1 MB	7.9 MB	4 MB	348.4 KB
250	45/c51942	1970631	call_snvs1 (44)	COMPLETED	0	2025-12-25 13:23:30.809	10.2s	0ms	483.9%	1.2 MB	8 MB	3 MB	228.5 KB
149	8b/faf1ee	1970664	call_snvs2 (32)	COMPLETED	0	2025-12-25 13:23:30.818	10.2s	1s	553.0%	1.2 MB	8 MB	4.2 MB	416.1 KB
199	a6/4d689b	1970500	call_snvs2 (48)	COMPLETED	0	2025-12-25 13:23:30.772	15.2s	1s	576.9%	1.8 MB	7.9 MB	4 MB	347.3 KB
72	01/b885aa	1975453	get_depth (17)	COMPLETED	0	2025-12-25 13:23:31.951	14s	0ms	91.1%	1.5 MB	7.1 MB	8.9 MB	1.6 KB
