Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1766370535.632	   545.931	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18526.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18526.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18526.wgs.stdout 2>&1
2	:	1766370535.637	   555.628	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18540.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18540.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18540.wgs.stdout 2>&1
3	:	1766371081.571	   524.578	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18544.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18544.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18544.wgs.stdout 2>&1
4	:	1766371091.271	   567.840	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18552.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18552.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18552.wgs.stdout 2>&1
5	:	1766371606.156	   576.655	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18564.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18564.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18564.wgs.stdout 2>&1
6	:	1766371659.117	   613.506	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18565.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18565.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18565.wgs.stdout 2>&1
7	:	1766372182.823	   530.693	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18617.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18617.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18617.wgs.stdout 2>&1
8	:	1766372272.631	   562.333	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18855.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18855.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18855.wgs.stdout 2>&1
9	:	1766372713.523	   652.128	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18861.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18861.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18861.wgs.stdout 2>&1
10	:	1766372834.972	   565.144	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18868.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18868.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18868.wgs.stdout 2>&1
11	:	1766373365.659	   528.857	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18942.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18942.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18942.wgs.stdout 2>&1
12	:	1766373400.122	   544.456	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA18952.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA18952.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA18952.wgs.stdout 2>&1
